Country,Continent,Life expectancy in 2015,Per capita income,Population
Papua New Guinea,OCEANIA,62.696,2200,5670544
Paraguay,LATIN AMERICA,72.425,4700,6506464
Peru,LATIN AMERICA,75.413,5100,28302603
Philippines,ASIA,69.024,4600,89468677
Poland,EUROPE,76.749,11100,38536869
Portugal,EUROPE,80.359,18000,10605870
Puerto Rico,LATIN AMERICA,79.214,16800,3927188
Qatar,ASIA,78.653,21500,885359
Reunion,AFRICA,80.122,5800,787584
Romania,EUROPE,74.072,7000,22303552
Russia,EUROPE,68.209,8900,142893540
Rwanda,AFRICA,64.99,1300,8648248
Saint Lucia,LATIN AMERICA,75.062,5400,168458
Saint Vincent and the Grenadines,LATIN AMERICA,72.693,2900,117848
Samoa,OCEANIA,73.726,5600,176908
Sao Tome & Principe,AFRICA,66.597,1200,193413
Saudi Arabia,ASIA,75.907,11800,27019731
Senegal,AFRICA,63.766,1600,11987121
Serbia,EUROPE,74.315,2200,9396411
Seychelles,AFRICA,73.524,7800,81541
Sierra Leone,AFRICA,46.051,500,6005250
Singapore,ASIA,82.659,23700,4492150
Slovakia,EUROPE,75.656,13300,5439448
Slovenia,EUROPE,79.895,19000,2010347
Solomon Islands,OCEANIA,68.098,1700,552438
Somalia,AFRICA,55.713,500,8863338
South Africa,AFRICA,57.631,10700,44187637
Spain,EUROPE,82.388,22000,40397842
Sri Lanka,ASIA,74.642,3700,20222240
Sudan,AFRICA,62.422,1900,41236378
Suriname,LATIN AMERICA,71.446,4000,439117
Swaziland,AFRICA,48.942,4900,1136334
Sweden,EUROPE,82.079,26800,9016596
Switzerland,EUROPE,82.876,32700,7523934
Syria,ASIA,74.817,3300,18881361
Tajikistan,ASIA,67.517,1000,7320815
Tanzania,AFRICA,62.46,600,37445392
Thailand,ASIA,74.765,7400,64631595
Togo,AFRICA,57.182,1500,5548702
Tonga,OCEANIA,72.991,2200,114689
Trinidad & Tobago,LATIN AMERICA,70.072,9500,1065842
Tunisia,AFRICA,76.338,6900,10175014
Turkey,ASIA,75.881,6700,70413958
Turkmenistan,C.W. OF IND. STATES,65.753,5800,5042920
Uganda,AFRICA,60.054,1400,28195754
Ukraine,EUROPE,68.742,5400,46710816
United Arab Emirates,ASIA,77.18,23200,2602713
United Kingdom,EUROPE,80.853,27700,60609153
United States,AMERICA,79.235,37800,298444215
Uruguay,LATIN AMERICA,77.528,12800,3431932
Uzbekistan,ASIA,68.484,1700,27307134
Vanuatu,OCEANIA,72.169,2900,208869
Venezuela,LATIN AMERICA,74.948,4800,25730435
Vietnam,ASIA,76.247,2500,84402966
West Bank,ASIA,73.562,800,2460492
Yemen,ASIA,63.475,800,21456188
Zambia,AFRICA,59.853,800,11502010
Zimbabwe,AFRICA,62.017,1900,12236805
